September 2020 Contiguous U.S. City Average Temperature,,,,,
Units: Degrees Fahrenheit,,,,,
Missing: -99,,,,,
Location ID,Location,Value,Rank,Anomaly (1981-2010 base period),1981-2010 Mean
USW00014914,"Fargo, North Dakota",58.2,32,-1.1,59.3
USW00014916,"Grand Forks, North Dakota",57.7,53,0.7,57
USW00024013,"Minot, North Dakota",58.4,36,-0.2,58.6
USW00094014,"Williston, North Dakota",-99,-99,-99,-99
USW00014895,"Akron, Ohio",65.3,53,1.4,63.9
USW00093814,"Cincinnati, Ohio",68,47,0.8,67.2
USW00014820,"Cleveland, Ohio",64.5,27,-0.9,65.4
USW00014821,"Columbus, Ohio",66.5,41,0.5,66
USW00094830,"Toledo, Ohio",65.2,32,-0.2,65.4
USW00013967,"Oklahoma City, Oklahoma",69.8,17,-2.4,72.2
USW00013968,"Tulsa, Oklahoma",72,30,-1.1,73.1
USH00350328,"Astoria, Oregon",62.3,123,4,58.3
USW00024221,"Eugene, Oregon",64.9,72,2.1,62.8
USW00024225,"Medford, Oregon",70.8,90,4.1,66.7
USW00024155,"Pendleton, Oregon",66.2,87,3.4,62.8
USW00024229,"Portland, Oregon",67.4,80,3,64.4
USW00024232,"Salem, Oregon",66,114,2.4,63.6
USH00360106,"Allentown, Pennsylvania",64.9,55,0.1,64.8
USW00014860,"Erie, Pennsylvania",65.9,73,1.7,64.2
USW00014751,"Harrisburg, Pennsylvania",68.2,47,0.8,67.4
USW00013739,"Philadelphia, Pennsylvania",69.4,49,0.9,68.5
USW00094823,"Pittsburgh, Pennsylvania",64.6,47,0.6,64
USW00014777,"Scranton, Pennsylvania",63.6,41,0.4,63.2
USW00014778,"Williamsport, Pennsylvania",64.9,51,1.3,63.6
USW00014765,"Providence, Rhode Island",66,58,1.7,64.3
USW00013880,"Charleston, South Carolina",76.8,54,0.7,76.1
USW00013883,"Columbia, South Carolina",75.8,36,0.1,75.7
USH00383747,"Greenville, South Carolina",70.4,19,-1.6,72
USH00390020,"Aberdeen, South Dakota",60.2,62,0.3,59.9
USW00024025,"Pierre, South Dakota",63,46,0.3,62.7
USW00024090,"Rapid City, South Dakota",59.9,27,-0.9,60.8
USW00014944,"Sioux Falls, South Dakota",62.5,48,0.4,62.1
USW00013882,"Chattanooga, Tennessee",74.4,55,1.2,73.2
USW00003811,"Jackson, Tennessee",70.6,31,-0.7,71.3
USW00013877,"Johnson City, Tennessee",68.3,47,0.6,67.7
USW00013891,"Knoxville, Tennessee",70.8,44,-0.1,70.9
USW00013893,"Memphis, Tennessee",74.5,47,0.3,74.2
USW00013897,"Nashville, Tennessee",72.6,40,0.3,72.3
USW00013962,"Abilene, Texas",72.5,5,-3.4,75.9
USW00023047,"Amarillo, Texas",68.1,16,-2,70.1
