Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-089,Shasta County,71.6,125,5.7,65.9
CA-091,Sierra County,62.8,125,5.3,57.5
CA-093,Siskiyou County,65.4,124,6,59.4
CA-095,Solano County,74.4,125,5,69.4
CA-097,Sonoma County,69.7,126,5.2,64.5
CA-099,Stanislaus County,76.2,126,5.3,70.9
CA-101,Sutter County,77.6,126,5.3,72.3
CA-103,Tehama County,74.3,124,4.6,69.7
CA-105,Trinity County,67.6,120,4.2,63.4
CA-107,Tulare County,69.2,122,4.9,64.3
CA-109,Tuolumne County,66.6,126,5.9,60.7
CA-111,Ventura County,72.5,125,7,65.5
CA-113,Yolo County,76,125,4.6,71.4
CA-115,Yuba County,76.2,126,5.8,70.4
CO-001,Adams County,63.9,91,2.3,61.6
CO-003,Alamosa County,56.4,92,1.6,54.8
CO-005,Arapahoe County,63,85,1.8,61.2
CO-007,Archuleta County,57.7,107,2.6,55.1
CO-009,Baca County,65,33,-1.5,66.5
CO-011,Bent County,65.7,51,-0.6,66.3
CO-013,Boulder County,57.5,84,1.8,55.7
CO-014,Broomfield County,63.8,87,2,61.8
CO-015,Chaffee County,50.8,88,1.3,49.5
CO-017,Cheyenne County,64.4,62,0.3,64.1
CO-019,Clear Creek County,50,99,2,48
CO-021,Conejos County,53.3,91,1.6,51.7
CO-023,Costilla County,54.7,94,1.6,53.1
CO-025,Crowley County,64.5,62,0.3,64.2
CO-027,Custer County,53,74,0.7,52.3
CO-029,Delta County,61.2,117,3.5,57.7
CO-031,Denver County,63.9,81,1.8,62.1
CO-033,Dolores County,56.8,113,3.1,53.7
CO-035,Douglas County,59.4,76,1,58.4
CO-037,Eagle County,53.4,108,2.3,51.1
CO-039,Elbert County,61.1,86,1.6,59.5
CO-041,El Paso County,60.9,88,1.7,59.2
CO-043,Fremont County,57.2,61,0.4,56.8
CO-045,Garfield County,57.6,113,3,54.6
CO-047,Gilpin County,51.8,87,1.6,50.2
CO-049,Grand County,50.9,102,1.9,49
CO-051,Gunnison County,52,104,2.1,49.9
CO-053,Hinsdale County,49.5,118,3.6,45.9
CO-055,Huerfano County,59.1,86,1.3,57.8
CO-057,Jackson County,50.4,104,2.6,47.8
CO-059,Jefferson County,58.3,75,1,57.3
CO-061,Kiowa County,64.5,47,-0.8,65.3
CO-063,Kit Carson County,64.1,64,0.5,63.6
CO-065,Lake County,47,85,1,46
CO-067,La Plata County,58.9,117,3.3,55.6
CO-069,Larimer County,55,92,2.2,52.8
CO-071,Las Animas County,62.5,55,-0.1,62.6
CO-073,Lincoln County,62.8,67,0.7,62.1
CO-075,Logan County,63.1,68,0.8,62.3
CO-077,Mesa County,61.2,106,2.7,58.5
CO-079,Mineral County,49.7,110,2.5,47.2
CO-081,Moffat County,58,102,2.3,55.7
CO-083,Montezuma County,62.7,114,2.8,59.9
CO-085,Montrose County,61.4,113,2.9,58.5
CO-087,Morgan County,63.7,88,2.3,61.4
CO-089,Otero County,65.5,57,-0.1,65.6
CO-091,Ouray County,55,112,3.2,51.8
CO-093,Park County,50.7,83,1.1,49.6
CO-095,Phillips County,63.3,68,0.5,62.8
CO-097,Pitkin County,51.4,106,2.4,49
CO-099,Prowers County,65.3,37,-1.6,66.9
CO-101,Pueblo County,64.7,72,0.8,63.9
CO-103,Rio Blanco County,58.4,106,2.8,55.6
CO-105,Rio Grande County,53.1,106,2.1,51
CO-107,Routt County,53.9,108,2.7,51.2
CO-109,Saguache County,52.6,97,1.6,51
CO-111,San Juan County,48.2,120,4.2,44
CO-113,San Miguel County,58.4,114,3,55.4
CO-115,Sedgwick County,63.8,73,1.1,62.7
CO-117,Summit County,48.8,98,1.8,47
CO-119,Teller County,52.2,79,0.8,51.4
CO-121,Washington County,62.9,68,0.6,62.3
CO-123,Weld County,63.2,98,2.8,60.4
CO-125,Yuma County,63.7,67,0.2,63.5
CT-001,Fairfield County,65.3,103,2.5,62.8
CT-003,Hartford County,64.2,103,2.4,61.8
CT-005,Litchfield County,61.5,95,1.9,59.6
CT-007,Middlesex County,64.6,105,2.3,62.3
CT-009,New Haven County,64.8,102,2.4,62.4
CT-011,New London County,64.3,104,2.2,62.1
CT-013,Tolland County,62.8,102,2.1,60.7
CT-015,Windham County,63,103,2.2,60.8
DE-001,Kent County,68.8,93,1.6,67.2
DE-003,New Castle County,67.6,76,0.8,66.8
DE-005,Sussex County,69.9,99,2.1,67.8
FL-001,Alachua County,79.7,104,1.4,78.3
FL-003,Baker County,78.2,88,0.9,77.3
FL-005,Bay County,79.1,90,1.1,78
FL-007,Bradford County,79,95,1.2,77.8
FL-009,Brevard County,81.9,124,2.1,79.8
FL-011,Broward County,82.6,116,1.8,80.8
FL-013,Calhoun County,78.6,90,1.2,77.4
FL-015,Charlotte County,82.1,115,1.5,80.6
FL-017,Citrus County,81.4,123,2.4,79
FL-019,Clay County,79.5,106,1.6,77.9
FL-021,Collier County,82.1,93,0.8,81.3
FL-023,Columbia County,78.4,86,0.8,77.6
FL-027,DeSoto County,81.6,120,1.6,80
FL-029,Dixie County,79.8,104,1.5,78.3
FL-031,Duval County,79.4,108,1.6,77.8
FL-033,Escambia County,77.6,69,0,77.6
FL-035,Flagler County,80.6,122,2.1,78.5
FL-037,Franklin County,80,107,1.8,78.2
FL-039,Gadsden County,77.5,66,0.2,77.3
FL-041,Gilchrist County,79.5,103,1.4,78.1
FL-043,Glades County,81,98,0.8,80.2
FL-045,Gulf County,79.7,110,2.1,77.6
FL-047,Hamilton County,77.9,82,0.6,77.3
FL-049,Hardee County,81.7,122,2,79.7
FL-051,Hendry County,81,78,0.4,80.6
FL-053,Hernando County,81.7,123,2.7,79
FL-055,Highlands County,81.5,122,1.7,79.8
FL-057,Hillsborough County,82.1,124,2.3,79.8
FL-059,Holmes County,77.4,67,0.1,77.3
FL-061,Indian River County,81.6,123,2.1,79.5
FL-063,Jackson County,77.8,63,0.1,77.7
FL-065,Jefferson County,78.2,80,0.7,77.5
FL-067,Lafayette County,79.2,102,1.4,77.8
FL-069,Lake County,81.6,125,2.4,79.2
FL-071,Lee County,82,102,1,81
FL-073,Leon County,78,70,0.4,77.6
FL-075,Levy County,80.2,112,1.7,78.5
FL-077,Liberty County,78.8,94,1.3,77.5
FL-079,Madison County,78.3,90,1.1,77.2
FL-081,Manatee County,81.5,114,1.6,79.9
FL-083,Marion County,80.5,118,1.9,78.6
FL-085,Martin County,81.7,118,1.7,80
FL-086,Miami-Dade County,83.3,122,2.4,80.9
FL-087,Monroe County,83.7,120,2.1,81.6
FL-089,Nassau County,78.8,103,1.4,77.4
FL-091,Okaloosa County,77.4,66,-0.1,77.5
FL-093,Okeechobee County,81.4,120,1.7,79.7
FL-095,Orange County,82,125,2.1,79.9
FL-097,Osceola County,82.2,125,2.3,79.9
FL-099,Palm Beach County,82,118,1.6,80.4
FL-101,Pasco County,81.8,123,2.5,79.3
FL-103,Pinellas County,82.3,116,1.7,80.6
FL-105,Polk County,82.3,125,2.5,79.8
FL-107,Putnam County,80.3,116,1.8,78.5
FL-109,St. Johns County,80.3,120,2,78.3
FL-111,St. Lucie County,81.4,119,1.6,79.8
FL-113,Santa Rosa County,76.9,51,-0.7,77.6
FL-115,Sarasota County,81.6,108,1.2,80.4
FL-117,Seminole County,81.7,123,1.9,79.8
FL-119,Sumter County,81.4,124,2.5,78.9
FL-121,Suwannee County,78.7,92,1,77.7
FL-123,Taylor County,79.5,102,1.4,78.1
FL-125,Union County,78.7,90,1,77.7
FL-127,Volusia County,81.1,123,2,79.1
FL-129,Wakulla County,79,81,0.9,78.1
FL-131,Walton County,77.6,69,0.3,77.3
FL-133,Washington County,78.2,77,0.7,77.5
GA-001,Appling County,77.5,89,1.1,76.4
GA-003,Atkinson County,77.4,81,0.8,76.6
GA-005,Bacon County,77.6,90,1.1,76.5
GA-007,Baker County,76.6,54,-0.5,77.1
GA-009,Baldwin County,74.2,56,-0.6,74.8
GA-011,Banks County,69.9,21,-2.2,72.1
GA-013,Barrow County,70.2,27,-2,72.2
GA-015,Bartow County,71.5,51,-0.9,72.4
GA-017,Ben Hill County,76.6,77,0.7,75.9
GA-019,Berrien County,76.8,75,0.4,76.4
GA-021,Bibb County,74.3,59,-0.5,74.8
GA-023,Bleckley County,75.4,63,-0.2,75.6
GA-025,Brantley County,77.8,97,1.4,76.4
GA-027,Brooks County,76.9,72,0.2,76.7
GA-029,Bryan County,78,95,1.5,76.5
GA-031,Bulloch County,76.6,83,1,75.6
GA-033,Burke County,75,71,0.6,74.4
GA-035,Butts County,72.1,44,-1.3,73.4
GA-037,Calhoun County,76.2,56,-0.4,76.6
GA-039,Camden County,78.7,102,1.5,77.2
GA-043,Candler County,76.3,78,0.7,75.6
GA-045,Carroll County,71.6,71,0.2,71.4
